step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
122,0.2886633574962616,0.859375,,,,,,,,2025-09-11T18:11:41.6850000Z
123,0.2438661903142929,0.8645833134651184,,,,,,,,2025-09-11T18:11:42.6070000Z
124,0.2725585997104645,0.8802083134651184,,,,,,,,2025-09-11T18:11:43.8360000Z
125,0.27377191185951233,0.8854166865348816,,,,,,,,2025-09-11T18:11:45.0850000Z
126,0.27121278643608093,0.875,,,,,,,,2025-09-11T18:11:46.3290000Z
127,0.2789369821548462,0.8854166865348816,,,,,,,,2025-09-11T18:11:47.5570000Z
128,0.32980775833129883,0.8541666865348816,,,,,,,,2025-09-11T18:11:48.7920000Z
129,0.3261975944042206,0.84375,,,,,,,,2025-09-11T18:11:50.0190000Z
130,0.3174792528152466,0.8177083134651184,,0.32384950915972394,0.8385416666666666,,,,,2025-09-11T18:11:54.4740000Z
131,0.3413430452346802,0.8333333134651184,,,,,,,,2025-09-11T18:11:56.6900000Z
132,0.30838868021965027,0.84375,,,,,,,,2025-09-11T18:11:57.6300000Z
133,0.30266210436820984,0.828125,,,,,,,,2025-09-11T18:11:58.8540000Z
134,0.29372724890708923,0.8645833134651184,,,,,,,,2025-09-11T18:12:00.0850000Z
135,0.28500649333000183,0.8697916865348816,,,,,,,,2025-09-11T18:12:01.3180000Z
136,0.2973029911518097,0.859375,,,,,,,,2025-09-11T18:12:02.5520000Z
137,0.252655565738678,0.8854166865348816,,,,,,,,2025-09-11T18:12:03.7890000Z
138,0.2664240896701813,0.890625,,,,,,,,2025-09-11T18:12:05.0470000Z
139,0.2937774658203125,0.875,,,,,,,,2025-09-11T18:12:06.0090000Z
140,0.3055415451526642,0.8229166865348816,,0.2714698115984599,0.875,,,,,2025-09-11T18:12:10.7880000Z
141,0.31318965554237366,0.875,,,,,,,,2025-09-11T18:12:12.6680000Z
142,0.2653549015522003,0.8697916865348816,,,,,,,,2025-09-11T18:12:13.9190000Z
143,0.33187511563301086,0.8541666865348816,,,,,,,,2025-09-11T18:12:15.1480000Z
144,0.3352534770965576,0.8125,,,,,,,,2025-09-11T18:12:16.3810000Z
145,0.3212795555591583,0.8385416865348816,,,,,,,,2025-09-11T18:12:17.6240000Z
146,0.2726353108882904,0.8645833134651184,,,,,,,,2025-09-11T18:12:18.8690000Z
147,0.2725074291229248,0.8697916865348816,,,,,,,,2025-09-11T18:12:20.1030000Z
148,0.3094518184661865,0.8489583134651184,,,,,,,,2025-09-11T18:12:21.3480000Z
149,0.27239254117012024,0.8802083134651184,,,,,,,,2025-09-11T18:12:22.5770000Z
150,0.3403657376766205,0.828125,,0.3297154903411865,0.828125,,,,,2025-09-11T18:12:27.0440000Z
151,0.29456397891044617,0.859375,,,,,,,,2025-09-11T18:12:29.2440000Z
152,0.28511878848075867,0.859375,,,,,,,,2025-09-11T18:12:30.1920000Z
153,0.29660138487815857,0.859375,,,,,,,,2025-09-11T18:12:31.4360000Z
154,0.31007686257362366,0.8645833134651184,,,,,,,,2025-09-11T18:12:32.6850000Z
155,0.3082338273525238,0.8541666865348816,,,,,,,,2025-09-11T18:12:33.9140000Z
156,0.30951693654060364,0.8541666865348816,,,,,,,,2025-09-11T18:12:35.1610000Z
157,0.27909937500953674,0.8854166865348816,,,,,,,,2025-09-11T18:12:36.4190000Z
158,0.3188757598400116,0.8541666865348816,,,,,,,,2025-09-11T18:12:37.3610000Z
159,0.3162272870540619,0.8333333134651184,,,,,,,,2025-09-11T18:12:38.6000000Z
160,0.2947436273097992,0.8697916865348816,,0.31330756346384686,0.8697916666666666,,,,,2025-09-11T18:12:43.0610000Z
161,0.30220961570739746,0.8697916865348816,,,,,,,,2025-09-11T18:12:45.2660000Z
162,0.3003492057323456,0.84375,,,,,,,,2025-09-11T18:12:46.2140000Z
163,0.2702408730983734,0.8697916865348816,,,,,,,,2025-09-11T18:12:47.4500000Z
164,0.29038169980049133,0.8854166865348816,,,,,,,,2025-09-11T18:12:48.6550000Z
165,0.29208025336265564,0.8697916865348816,,,,,,,,2025-09-11T18:12:49.8840000Z
166,0.3369492292404175,0.828125,,,,,,,,2025-09-11T18:12:51.1170000Z
