timestamp,mode,target,dataset,alpha,experiments,n_true_labels,method,gamma,mse,avg_ci_length,coverage_rate,execution_time,settings_key
20250913_000243,mse-compare,UNITY,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,PGAE,0.5,0.0001930372860187,0.0702745735063584,1.0,11.467441082000732,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000243,mse-compare,UNITY,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Adaptive_PGAE,0.5,0.000290190569499,0.0692571321494417,0.96,5.975454092025757,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000243,mse-compare,UNITY,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Active_Inference,0.5,0.0004732986608676,0.0725857988404701,0.9,3.1229419708251953,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000243,mse-compare,UNITY,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Naive,0.5,0.0005725995111715,0.0985483952779106,0.98,4.66132378578186,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000308,mse-compare,GPT1,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,PGAE,0.5,0.0008593982909031,0.1251768404873282,0.98,9.997626066207886,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000308,mse-compare,GPT1,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Adaptive_PGAE,0.5,0.0010792546272515,0.1285593107274208,0.98,7.133148908615112,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000308,mse-compare,GPT1,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Active_Inference,0.5,0.0019454215593893,0.1362696796990213,0.84,2.9592010974884033,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000308,mse-compare,GPT1,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Naive,0.5,0.0023325919398463,0.1932585177932243,0.96,2.1771960258483887,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000336,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,PGAE,0.5,0.001013965548927,0.1505968415463417,1.0,12.8110830783844,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000336,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Adaptive_PGAE,0.5,0.0014461235510481,0.1505163966374639,0.98,7.5431811809539795,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000336,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Active_Inference,0.5,0.0011552805275865,0.1577321852790477,0.98,2.5985536575317383,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000336,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Naive,0.5,0.0024436302276798,0.2134023065819813,0.98,3.2963809967041016,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000358,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,PGAE,0.5,0.0008178979017092,0.1121320469073397,0.94,9.27076292037964,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000358,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Adaptive_PGAE,0.5,0.0011224384522543,0.108964924769479,0.92,6.462951898574829,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000358,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Active_Inference,0.5,0.00093447383698,0.1097104090809537,0.94,2.2166812419891357,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000358,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,50,500,Naive,0.5,0.0017388241327452,0.154131863570409,0.94,2.356045961380005,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=50|labels=500|gamma=0.5
20250913_000741,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,PGAE,0.5,0.0020177120960586,0.1538920082538124,0.88,23.73472499847412,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000741,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Adaptive_PGAE,0.5,0.0011437631644223,0.1441093991647782,0.97,8.687511205673218,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000741,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Active_Inference,0.5,0.0023178299009879,0.1704973958187535,0.89,3.752835988998413,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000741,mse-compare,ECON1MOD,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Naive,0.5,0.0020048860503316,0.2078666022392415,1.0,3.2591631412506104,mode=mse-compare|target=ECON1MOD|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
